14:41:39.987 12732,-3824,9984,43.97,1250,-1175,1222
14:41:40.189 6736,1700,14592,43.87,-2426,2937,-3273
14:41:40.447 1272,-4684,16228,43.82,-2755,2060,-3100
14:41:40.684 -7180,244,22140,43.82,-557,-588,-100
14:41:40.919 1796,-4832,16008,43.82,2361,-4878,4325
14:41:41.172 9400,-1472,16232,43.78,-1336,1871,-3489
14:41:41.404 -2800,-420,13748,43.82,-2542,404,-324
14:41:41.663 6540,-2404,16856,43.82,-4907,-1630,2713
14:41:41.896 7304,1600,19812,43.87,91,1065,-2527
14:41:42.130 2776,-6292,14856,43.73,533,841,-2269
14:41:42.400 -476,-3792,14408,43.68,-562,-748,-906
14:41:42.635 1156,1036,18832,43.73,-1167,-847,714
14:41:42.869 2252,-8640,19348,43.54,-2439,-2304,2565
14:41:43.128 6052,-2156,17680,43.78,2975,-717,-1283
14:41:43.363 4908,-2308,10880,43.73,2971,-967,259
14:41:43.601 5828,-876,12476,43.73,-276,-228,-243
14:41:43.871 1140,-3460,14652,43.59,-2782,1907,-1970
14:41:44.140 -2532,-6000,18920,43.59,-848,-1765,838
14:41:44.343 1012,-6976,19440,43.49,2244,-2675,2409
14:41:44.581 5236,2136,17952,43.68,2945,-979,340
14:41:44.838 2888,-264,15004,43.54,2757,-278,-1117
14:41:45.061 1604,-452,15700,43.59,332,-565,315
14:41:45.318 1200,-3620,15732,43.59,128,-1901,1588
14:41:45.555 5964,760,17664,43.45,1862,-1210,238
14:41:45.790 5816,-5168,14720,43.49,-63,369,-624
14:41:46.048 2724,-632,17208,43.59,17,-1933,1947
14:41:46.293 5992,3276,17404,43.49,-1142,-1547,1023
14:41:46.527 2832,-2064,14832,43.49,-3193,-711,100
14:41:46.761 2440,-948,17480,43.45,-422,270,-881
14:41:47.024 1612,-6408,14884,43.45,-369,650,-2470
14:41:47.257 3144,-7376,14612,43.40,902,467,380
14:41:47.493 6056,-3308,14700,43.40,199,487,-778
14:41:47.768 2792,-2224,14216,43.40,-366,171,-1471
14:41:47.970 96,1968,17720,43.35,227,-515,-505
14:41:48.239 1420,2232,18632,43.40,651,-1639,999
14:41:48.508 6532,-1240,16044,43.31,-1513,87,148
14:41:48.699 4620,-1488,16164,43.35,265,572,-1006
14:41:48.953 744,28,17160,43.40,216,-419,-1216
14:41:49.187 2080,-1232,15972,43.40,-777,-1069,861
14:41:49.446 4988,-2352,15556,43.35,543,-497,-320
14:41:49.680 1056,-3308,15172,43.35,802,-598,-1143
14:41:49.918 3760,-3152,17324,43.35,-1590,302,952
14:41:50.157 5244,-2164,15868,43.35,-2244,392,-1961
14:41:50.415 2108,-1344,18260,43.31,-1712,404,-905
14:41:50.651 1872,-7912,18744,43.26,-983,-737,838
14:41:50.885 3820,-7960,15340,43.31,2780,-1614,474
14:41:51.144 4400,-5944,13460,43.26,2540,-390,-25
14:41:51.388 2232,-6096,15476,43.17,-2207,-365,766
14:41:51.665 5124,-2532,16696,43.21,-914,930,-943
14:41:51.867 6396,-6140,16228,43.35,869,464,-2086
14:41:52.137 28,-3632,15496,43.17,946,-289,-291
14:41:52.407 4388,-7584,13752,43.21,-5419,-1643,1198
14:41:52.610 5392,-8388,14296,43.26,-256,-267,-1085
14:41:52.846 1888,-184,21268,43.12,-708,1174,-1394
14:41:53.078 -2084,-3476,20356,43.12,723,-1698,1224
14:41:53.339 4244,-2148,12076,43.21,2864,-2354,1571
14:41:53.572 15544,-2820,13192,43.21,-1269,-464,939
14:41:53.831 6808,-4120,15892,43.12,-2801,4246,-4506
14:41:54.074 -4004,-5516,15288,43.17,-49,824,-2019
14:41:54.315 1620,-2380,16696,43.12,1308,-3010,1979
14:41:54.548 8800,-2856,19352,43.17,-820,429,-345
14:41:54.808 -2168,-4096,16536,43.12,669,-77,-764
14:41:55.042 -444,4316,23292,43.21,-978,-1263,474
14:41:55.278 2908,-5156,20140,43.12,1550,-2191,1443
14:41:55.538 9180,-5804,15012,43.12,1363,-1716,1869
14:41:55.810 7740,-924,14124,43.17,2374,1186,-2561
14:41:56.013 -76,2020,12708,43.02,-1257,343,-1867
14:41:56.283 928,-4904,13172,42.98,-1796,-106,309
14:41:56.553 2796,-1992,16936,42.98,-941,-278,-570
14:41:56.743 2172,-3740,16688,43.07,-644,-179,-748
14:41:57.003 916,-8744,15736,43.02,-842,-1575,1836
14:41:57.242 4484,-8264,15952,43.07,1318,-1833,535
14:41:57.476 584,-6888,15368,42.98,-486,-2279,1959
14:41:57.734 5048,-6908,15624,43.07,2815,-859,369
14:41:57.966 5748,-3488,14672,43.07,936,-641,-536
14:41:58.199 2824,1056,15952,42.98,1929,-128,-973
14:41:58.459 1156,1520,16124,42.98,-86,-655,-271
14:43:11.107 -3376,-776,15012,42.65,-4311,-3916,5044
14:43:11.368 7688,-2080,17844,42.60,-1512,-2386,2723
14:43:11.602 11360,-3004,13268,42.55,1802,-696,-2412
14:43:11.841 -3444,4,16248,42.51,-3680,2718,-3835
14:43:12.105 -2032,-5472,17900,42.65,-4805,-3317,4762
14:43:12.338 11192,-7408,17168,42.65,1698,-698,1991
14:43:12.597 2196,-5952,15176,42.55,2029,3069,-3964
14:43:12.831 -1300,3212,19960,42.65,1248,-647,111
14:43:13.065 5396,1164,19240,42.65,-3415,-706,1594
14:43:13.309 6420,-616,20280,42.60,1991,-288,-2627
14:43:13.559 3948,2516,18340,42.51,2070,748,-1782
14:43:13.831 1248,-5720,15852,42.65,-792,-1366,206
14:43:14.101 4276,-980,15924,42.65,2576,-1053,114
14:43:14.304 1428,-1612,17408,42.60,-1343,-3445,2754
14:43:14.564 8044,-9852,17028,42.55,1089,-2370,1489
14:43:14.777 4968,-5112,14932,42.55,3715,1021,-1828
14:43:15.037 -1816,-3932,14428,42.55,2214,-369,-669
14:43:15.272 2304,-8388,12412,42.51,-715,-2632,1896
14:43:15.530 2960,-8184,15836,42.60,-2833,1045,-1017
14:43:15.764 -3232,-4604,15364,42.65,108,4024,-2503
14:43:16.017 -1032,-748,18104,42.55,-1891,-3141,4405
14:43:16.256 10596,6808,21352,42.60,121,-3231,3794
14:43:16.514 10076,1532,15016,42.60,-1504,1370,-3584
14:43:16.748 -192,4096,15748,42.55,-439,413,-1838
14:43:16.981 -3552,-452,21624,42.60,-5594,-267,634
14:43:17.225 172,-6980,19296,42.74,-106,-3052,3001
14:43:17.484 7152,-1084,16316,42.65,2364,-488,288
14:43:17.733 5360,-324,16436,42.46,-1906,9,-887
14:43:18.003 3596,1032,17268,42.69,-1431,2144,-1844
14:43:18.206 -1620,-4684,15240,42.60,-159,-355,-575
14:43:18.475 2536,-6304,13180,42.65,224,-1458,1768
14:43:18.695 2448,-5660,14836,42.60,-1365,-353,679
14:43:18.929 3092,-2312,15928,42.55,-78,-225,-34
14:43:19.168 4028,-736,16392,42.55,-271,265,-670
14:43:19.424 1804,1456,17988,42.65,-504,1007,-511
14:43:19.680 260,-2740,16304,42.60,-429,-2471,1867
14:43:19.914 5900,-3152,16116,42.60,98,-593,-1575
14:43:20.151 -2060,-100,15296,42.65,-1805,612,-1396
14:43:20.382 1024,-740,14104,42.65,-903,-2020,862
14:43:20.642 216,248,18368,42.60,-1660,-777,1404
14:43:20.876 10272,5396,18056,42.55,390,-1825,2952
14:43:21.113 9716,-3916,13216,42.51,-18,702,-1771
14:43:48.635 10964,-328,16724,42.27,985,-917,1320
14:43:48.896 2900,-2000,13744,42.27,1301,742,-2922
14:43:49.126 -1228,96,18128,42.22,-1485,-362,-248
14:43:49.384 3796,-2192,18904,42.22,-1379,-2486,4296
14:43:49.618 7340,-1656,18600,42.22,2101,77,-242
14:43:49.858 2332,-1532,15124,42.32,374,841,-1281
14:43:50.117 -940,-1764,14744,42.32,-1704,-1446,53
14:43:50.351 4620,-3576,20144,42.27,-1870,-1539,2175
14:43:50.627 6180,-2720,14380,42.18,87,-176,-280
14:43:50.895 2852,-2640,15664,42.18,-785,704,-1769
14:43:51.098 -1360,-5152,15852,42.27,-848,-509,530
14:43:51.321 2692,-4080,18080,42.27,564,-1817,1969
14:43:51.579 2316,-6196,16040,42.32,1593,-1275,-1129
14:43:51.810 1732,-2184,16692,42.27,1621,78,-334
14:43:52.070 896,-6388,14996,42.22,-1591,890,-405
14:43:52.303 2544,-1056,15720,42.18,-681,-12,-1755
14:43:52.562 -3904,-4636,19284,42.22,-3793,-236,1297
14:43:52.800 11216,964,19072,42.22,129,-1694,1005
14:43:53.040 2488,-1380,11640,42.18,2588,1771,-1835
14:43:53.274 2732,-3484,11652,42.27,-1758,-101,-450
14:43:53.533 3132,-3720,19608,42.32,-1918,671,-334
14:43:53.766 -40,-3228,18328,42.08,-599,224,-458
14:43:54.026 4164,-1872,20872,42.22,1453,-3957,3753
14:43:54.270 7752,-6096,15148,42.22,103,1614,-1729
14:43:54.522 -1264,-1540,17356,42.27,-89,1648,-2392
14:43:54.792 -388,-3904,15384,42.13,-3684,-3508,3771
14:43:54.994 17300,832,17376,42.13,868,-651,-907
14:43:55.264 2348,-900,14516,42.18,399,4414,-6353
14:43:55.476 -8736,-4588,19952,42.13,-4165,2133,-839
14:43:55.724 -1836,-6688,14648,42.22,-1985,-4062,5908
14:43:55.990 3712,-3604,13008,42.27,-1908,-5190,3004
14:43:56.225 11392,-3428,17360,42.18,-476,3171,-2856
14:43:56.458 3172,1516,16440,42.27,1420,-1598,400
14:43:56.717 3028,-3420,13596,42.22,646,891,-2982
14:43:56.955 3088,272,17012,42.22,-1039,-1777,3431
14:43:57.194 5480,-7688,8696,42.18,4533,-2392,1073
14:43:57.428 3672,3596,17220,42.22,-1510,3025,-3328
14:43:57.687 -3112,-1196,18180,42.18,-4439,1257,-1330
14:43:57.921 -7072,-1004,17232,42.18,-1209,-134,-234
14:43:58.186 5576,-5352,15812,42.08,-549,221,727
14:43:58.418 -7304,-2836,14216,42.13,-1932,-2261,3189
14:43:58.667 -5632,-5048,7328,42.08,-2508,-4365,867
14:43:58.937 9804,-4476,18700,42.22,-1919,356,2183
14:43:59.207 6308,-5676,17640,42.13,46,1311,-1077
14:43:59.409 -1748,-5432,12224,42.13,6651,-1803,-960
14:43:59.645 5964,-5644,13172,42.13,4107,-2022,781
14:43:59.880 6668,3480,14200,42.18,4738,-163,-862
14:44:00.119 1316,-60,12588,42.18,-3311,1640,-2464
14:44:00.380 3216,-6508,13664,42.13,-940,875,-2517
14:44:00.614 -4840,-2816,18924,42.18,-3057,3436,-5509
14:44:00.872 -7752,-2824,14088,42.13,3134,-3873,5392
14:44:01.106 13132,-2544,14588,42.13,-579,-3682,4228
14:44:01.365 15864,-1644,13800,42.13,-1147,5650,-8399
14:44:01.604 -19796,-2704,19520,42.08,-4837,3523,-3358
14:44:01.863 6248,-4868,19072,42.32,3450,-11595,12200
14:44:02.100 19816,-8612,10352,42.08,4754,-2402,1741
14:44:02.360 8316,-1972,9108,42.13,-1739,6263,-8176
14:44:02.593 -7116,-3384,17080,42.18,-3802,-1015,1106
14:44:02.830 3268,-5012,17916,42.13,-6076,-1212,2178
14:44:03.099 6124,-2384,19380,42.27,4504,-3084,1973
14:44:03.370 3064,-2680,13156,42.22,-1046,238,-310
14:44:03.575 7952,-12108,10984,42.18,-4081,-513,1057
14:44:03.808 11376,-1776,15020,42.13,5080,1291,-1025
14:44:04.069 7392,-3284,9360,42.13,-422,5585,-8252
14:44:04.302 -3896,2864,15312,42.08,-1965,2058,-4994
14:44:04.560 -7324,-5480,18232,42.18,-762,1767,-1060
14:44:04.795 868,-5592,21948,42.18,-3140,-8148,8395
14:44:05.054 20944,-4128,16684,42.22,2155,-6694,7012
14:44:05.288 20056,-2688,7540,42.18,2305,2065,-4676
14:44:05.545 -3156,1656,15352,42.13,-1491,4003,-5722
14:44:05.791 -11528,-2156,19408,42.22,-1735,-1661,3042
14:44:06.031 3360,-9304,18908,42.22,-461,-5854,3673
14:44:06.290 7856,-2584,15752,42.18,2556,1241,-1115
14:44:06.523 -5492,-2224,14828,42.22,2408,1979,-2194
14:44:06.800 -2064,-3288,17080,42.22,-2620,-2540,2377
14:45:11.663 2736,-1424,17228,41.47,-976,57,457
14:45:11.924 3188,-3944,15432,41.42,-902,-619,81
14:45:12.158 3940,-3204,16000,41.52,-269,-512,-204
14:45:12.443 2668,-3288,15988,41.57,-1232,-321,-411
14:45:12.644 3376,-3780,16304,41.57,-204,-220,-84
14:45:12.916 3200,-2972,16112,41.42,175,-410,-309
14:45:13.184 3092,-3232,16132,41.52,-435,-596,-249
14:45:13.394 2828,-4228,15640,41.47,-649,-349,-480
14:45:13.632 3140,-5476,15988,41.52,-775,166,-806
