14:19:19.442 -2952,-5968,16120,35.07,-841,-637,646
14:19:19.673 3972,-4968,14692,35.17,-489,-3293,3768
14:19:19.905 11392,-4732,17280,35.12,-739,1666,-3277
14:19:20.162 -5168,-1868,15304,35.02,28,599,-1792
14:19:20.397 1928,-6624,16008,35.12,-1262,-2410,1964
14:19:20.637 7212,-916,16148,35.12,-1045,375,-2014
14:19:20.896 -1744,-1828,14500,35.12,69,344,-2983
14:19:21.135 1196,-1268,17800,35.12,731,-1524,-141
14:19:21.368 7124,-4796,15752,35.21,1691,-135,-2157
14:19:21.626 276,-1228,14368,35.21,1050,633,-3141
14:19:21.861 1020,-1756,15212,35.12,-1703,-1882,1377
14:19:22.100 8408,-2140,17848,35.21,-415,-15,-1668
14:19:22.363 -144,-3028,14948,35.07,721,46,-1446
14:19:22.598 848,-468,17300,35.21,-688,-2149,1751
14:19:22.832 8640,-2020,16684,35.02,-1659,-1307,1315
14:19:23.108 2832,1648,15456,35.21,747,2160,-3882
14:19:23.377 -2976,-2056,14384,35.17,-425,-472,-25
14:19:23.580 6988,1320,18176,35.17,-1158,-967,1771
14:19:23.807 7408,-2080,14648,35.26,482,77,-845
14:19:24.066 2008,2004,15316,35.12,-306,2139,-3068
14:19:24.297 640,-56,16416,35.21,-1516,-1395,1845
14:19:24.534 7824,-4460,14676,35.17,-143,550,-271
14:19:24.792 2636,-732,15524,35.17,1165,1427,-2313
14:19:25.024 -1312,108,15664,35.21,-1714,-871,366
14:19:25.284 2860,-260,15776,35.21,-1609,-2136,1969
14:19:25.517 6392,-3708,16640,35.26,535,-609,287
14:19:25.751 2708,-588,15084,35.21,1759,-652,-1432
14:19:26.009 1340,-1280,13840,35.21,-173,-1455,640
14:19:26.255 5100,1540,15904,35.21,-1601,-700,215
14:19:26.493 3468,-648,17136,35.21,-372,580,-1260
14:19:26.727 2892,-2748,15968,35.26,257,-314,-346
14:19:27.003 2840,-1528,14540,35.17,-108,-996,474
14:19:27.206 3644,-4716,14036,35.21,450,-720,466
14:19:27.476 4796,-3996,14484,35.17,-500,386,-711
14:19:27.745 1228,-3020,15460,35.12,-694,183,-1265
14:19:27.933 2108,-1720,16968,35.12,-611,-623,340
14:19:28.192 5068,-2148,15624,35.12,432,-86,-1333
14:19:28.426 2504,-2708,15124,35.17,-382,-101,-831
14:19:28.688 4056,-3744,15672,35.12,-750,-1629,1038
14:19:28.922 3236,-3724,15492,35.17,-508,976,-2011
14:19:29.157 248,-2176,15772,35.07,-132,-850,119
14:19:29.398 4356,-3856,14556,35.12,-734,-413,-673
14:19:29.655 3720,-4656,15804,35.17,56,46,-899
14:19:29.889 464,-4004,14164,35.17,-1027,-1362,233
14:19:30.145 2216,-4212,14592,35.17,1014,-756,-994
14:19:30.378 3484,-172,15384,35.17,-2023,-1910,1741
14:19:30.635 3376,-1212,14752,35.17,-1764,-461,-138
14:19:30.874 3640,-1092,17368,35.26,-972,-1050,371
14:19:31.099 3752,-3408,15168,35.26,726,-670,-114
14:19:31.370 3564,-92,15744,35.21,-240,-1074,1016
14:19:31.640 8416,-656,14660,35.17,-726,-335,237
14:19:31.842 3376,-2108,15500,35.21,-937,316,-550
14:19:32.079 6212,-2448,14924,35.17,1532,-1733,2694
14:19:32.318 8560,-868,14204,35.17,-1181,-234,243
14:19:32.578 2932,-1704,13876,35.12,-949,827,-621
14:19:32.814 3364,-5488,15908,35.21,-666,-807,2087
14:19:33.048 5888,-1744,15112,35.12,-376,-504,786
14:19:33.282 2316,-3728,14428,35.12,220,116,155
14:19:33.541 1540,-4436,14640,35.21,-1842,-86,82
14:19:33.779 1680,-3508,16844,35.17,-1665,42,-555
14:19:34.012 -380,-4280,16136,35.12,-269,-963,299
14:19:34.271 5888,-3840,15840,35.12,939,-2418,1195
14:19:34.504 6420,-1552,15852,35.21,-1041,1008,-3451
14:19:34.763 -1884,-2684,16552,35.17,-2069,900,-2045
14:19:34.999 892,-3620,16620,35.21,-1178,-2454,1973
14:19:35.271 9732,-5400,14892,35.17,-381,419,-939
14:19:35.541 2808,-3300,14376,35.12,612,1519,-3257
14:19:35.744 508,-3280,16052,35.21,-1231,-1751,2101
14:19:36.015 6684,-5196,15164,35.12,221,-156,-395
14:19:36.209 5568,-876,15840,35.17,552,932,-1161
14:19:36.470 1620,-1252,13484,35.17,-59,263,-676
14:19:36.707 4636,-172,16660,35.31,-1271,-1205,945
14:19:36.943 3756,-1088,16000,35.12,389,176,-773
14:19:37.201 1968,820,15900,35.17,-1006,-1575,1284
14:19:37.434 7484,760,15908,35.26,-610,-651,-456
14:19:37.672 1664,956,16964,35.21,-420,1038,-2304
14:19:37.905 96,1732,15272,35.07,509,-1374,753
14:19:38.141 3716,800,15164,35.26,389,-1824,257
14:22:32.820 136,-3036,16252,35.12,-396,1911,-2882
14:22:33.087 -1840,-2700,16508,35.12,-112,-1044,541
14:22:33.327 3332,-2300,15724,35.17,598,-934,487
14:22:33.561 2096,-176,15356,35.12,716,-299,-499
14:22:33.795 1256,-1928,14236,35.21,-831,-1307,1208
14:22:34.054 6132,-2640,15860,35.17,-428,-576,414
14:22:34.291 3348,-832,15908,35.17,675,-207,-727
14:22:34.526 4464,1148,16252,35.21,-553,-482,155
14:22:34.765 2224,-1448,15808,35.12,-785,542,-1339
14:22:35.024 3584,-3152,16784,35.17,-1080,-1495,1546
14:22:35.258 3548,-2096,16396,35.26,589,-50,-1259
14:22:35.519 1592,-2748,15844,35.07,699,-104,-994
14:22:35.789 2876,-1716,15252,35.17,207,-1795,1760
14:22:35.992 5272,-2320,14692,35.21,-1166,457,-902
