14:54:01.117 5712,-1140,13932,39.40,39,796,-1817
14:54:01.387 436,-2760,18492,39.49,-542,54,-1049
14:54:01.580 -180,-1524,15612,39.31,-696,-382,916
14:54:01.814 7516,-1968,14748,39.35,1232,483,-706
14:54:02.062 1704,-3768,17320,39.45,-1324,1731,-2391
14:54:02.316 2100,-2148,15636,39.45,139,-408,-479
14:54:02.550 1036,-3880,18572,39.31,-119,-1134,4220
14:54:02.808 6344,-2080,14904,39.35,358,-544,-130
14:54:03.042 532,-3040,17312,39.40,-1344,945,-2153
14:54:03.276 5628,-3300,15248,39.45,-348,-1691,-1085
14:54:03.546 -3312,-1284,14564,39.40,-1068,-301,1925
14:54:03.780 2848,-1360,16876,39.40,-549,-329,2578
14:54:04.013 5572,-3376,16644,39.35,1876,-1910,-3
14:54:04.272 1756,-1640,16276,39.49,1198,419,-2203
14:54:04.506 4652,-4524,16384,39.45,-1589,-385,-1175
14:54:04.792 -1612,-1684,16244,39.35,-1765,-2470,3401
14:54:04.994 1864,-3288,19184,39.40,57,-2089,3568
14:54:05.266 5772,-1680,13992,39.35,882,-9,-2061
14:54:05.495 1636,-3032,16440,39.35,-1958,190,-1066
14:54:05.729 6480,-4836,17144,39.45,18,-353,-1492
14:54:05.989 -3260,-1280,18120,39.45,-552,-3655,3141
14:54:06.234 6628,-2632,14920,39.35,1451,229,-1048
14:54:06.474 -460,-2660,16420,39.40,-1299,958,-2018
14:54:06.708 3052,-2700,17368,39.40,-43,-1450,225
14:54:06.954 3360,-1832,15528,39.31,-61,572,-331
14:54:07.188 2136,-2000,15740,39.31,-570,-862,151
14:54:07.438 5048,-2548,15892,39.40,109,-766,469
14:54:07.674 3224,-2800,16516,39.40,-768,309,-1050
14:54:07.938 3060,-2500,16260,39.31,-766,144,-1067
14:54:08.172 1168,-3144,17128,39.45,-530,-322,-184
14:54:08.405 6344,-2764,16236,39.35,-293,-295,-791
14:54:08.643 288,-1848,16180,39.40,56,3,-608
